Undefined,#genre#
Abya_Yala_TV,https://seo.tv.bo/tv/LIpSEO-TV-8.m3u8
ATB_La_Paz_(614p)_[Not_24/7],http://186.121.206.197/live/daniel/index.m3u8
ATB_La_Paz,https://stream.atb.com.bo/live/daniel/index.m3u8
Bolivia_TV_(720p)_[Not_24/7],http://boliviatv1.srfms.com:5735/live/livestream/playlist.m3u8
Bolivia_TV_7.2_(720p),https://video1.getstreamhosting.com:1936/8224/8224/playlist.m3u8
Bolivisión_LPZ_(720p),https://alba-bo-bolivision-bolivision.stream.mediatiquestream.com/index.m3u8
Cadena_A_(720p)_[Not_24/7],https://5fe2654d6127d.streamlock.net/cadenaa/videocadenaa/playlist.m3u8
CEACOM_TV_[Not_24/7],https://eu1.servers10.com:8081/ceacom/index.m3u8
CTV,https://live.ctvbolivia.com/hls/ctv.m3u8
F10_HD_[Geo-blocked],https://tv2.bitstreaming.net:3235/multi_live/play.m3u8
FAP_TV_(480p),https://nd106.republicaservers.com/hls/c7284/index.m3u8
FTV_(720p),https://master.tucableip.com/ftvhd/index.m3u8
Palenque_TV,https://tv.bitstreaming.net:3234/live/palenquetvlive.m3u8
PAT_La_Paz,https://www.redpat.tv/proxylpz/index.m3u8
Red_ADvenir_TV_(360p)_[Not_24/7],http://streamer1.streamhost.org:1935/salive/GMIredadvenirm/playlist.m3u8
Red_CCTV_(480p),https://solo.disfrutaenlared.com:1936/redcctv/redcctv/playlist.m3u8
Red_TV_Shop_(720p),https://master.tucableip.com/redtvshop/index.m3u8
Red_Uno_Santa_Cruz,https://master.tucableip.com/muxredunosc/index.m3u8
RTP,https://rtp.noxun.net/hls/stream.m3u8
TDT_Multimedia_(720p),https://video01.kshost.com.br:4443/juan6318/juan6318/playlist.m3u8
TV_OFF,https://seo.tv.bo/tv/TV-OFF.m3u8
UMSA_TVU_Internacional_(720p),#EXTVLCOPT:http-referrer=https://tvu.umsa.bo/tvu-internacional
Unifranz_(720p),https://live.enhdtv.com:8081/8192/index.m3u8
Unitel_Santa_Cruz_(720p)_[Not_24/7],https://xtream.videx.lol/Yoshiro/admin/338.m3u8
Univalle_Televisión_(1080p),https://master.tucableip.com/univalletv/playlist.m3u8
UniversidadMayordeSanAndres_(1080p)_[Not_24/7],#EXTVLCOPT:http-referrer=https://tvu.umsa.bo/en-vivo
UPP_TV/Bolivisión_SCZ_(720p)_[Not_24/7],https://alba-bo-bolivision-upptv.stream.mediatiquestream.com/index.m3u8
VTV_Canal_17_(720p)_[Not_24/7],https://solo.disfrutaenlared.com:1936/vtvcanal/vtvcanal/playlist.m3u8
XTOTV_(1280p)_[Not_24/7],#EXTVLCOPT:http-referrer=https://www.sccbolivia.com/
