Undefined,#genre#
beIN_Sports_USA_(720p),http://23.237.104.106:8080/USA_BEIN/index.m3u8
beIN_SPORTS_XTRA_(1080p),https://bein-xtra-bein.amagi.tv/playlist.m3u8
ESPN_Deportes_(720p),http://40.160.24.58/ESPN_DEPORTES/index.m3u8
ESPNU_(720p),http://23.237.104.106:8080/USA_ESPNU/index.m3u8
Fox_Sports_1_(720p),http://85.237.89.160:9590/usa-s/FOX-SPORTS-1/index.m3u8
beIN_Sports_USA_(576p),http://40.160.24.52/BEIN_SPORTS_HD/index.m3u8
ESPNews_(720p),https://gpuserver3.tier1streams.com/ESPN_NEWS/index.m3u8
beIN_SPORTS_XTRA_en_Espanol_(1080p),http://201.190.41.246:9060/play/a03y/index.m3u8
Fox_Sports_2_(1080p),https://messi.damitv.st/papi/ts/fox-sports-2/playlist.m3u8
Fox_Sports_1_(1080p),https://messi.damitv.st/papi/ts/fox-sports-1/playlist.m3u8
