LatAm Premium,#genre#
A&E_HD,http://179.1.87.75:8098/play/a0ud/index.m3u8
AE_Mundo,http://179.1.87.75:8098/play/a0f1/index.m3u8
America_TV_PY,http://179.1.87.75:8098/play/a0fy/index.m3u8
Atres_Series,http://179.1.87.75:8098/play/a0uk/index.m3u8
CHV,http://179.1.87.75:8098/play/a0tw/index.m3u8
CHV_HD,http://179.1.87.75:8098/play/a0tg/index.m3u8
CNN_Chile,http://179.1.87.75:8098/play/a0to/index.m3u8
CNN_Espanol,http://179.1.87.75:8098/play/a0e6/index.m3u8
CNN_International,http://179.1.87.75:8098/play/a0u7/index.m3u8
Canal_13,http://179.1.87.75:8098/play/a0uo/index.m3u8
Canal_13_HD,http://179.1.87.75:8098/play/a0ub/index.m3u8
Canal_Caracol,http://179.1.87.75:8098/play/a0g5/index.m3u8
Canal_Estrellas,http://179.1.87.75:8098/play/a0ff/index.m3u8
Canal_Institucional,http://179.1.87.75:8098/play/a0g9/index.m3u8
Canal_RCN,http://179.1.87.75:8098/play/a0g6/index.m3u8
Canal_Uno,http://179.1.87.75:8098/play/a0g3/index.m3u8
Canal_del_Congreso,http://179.1.87.75:8098/play/a0ga/index.m3u8
Capital,http://179.1.87.75:8098/play/a0gl/index.m3u8
City_TV,http://179.1.87.75:8098/play/a0gk/index.m3u8
Comedy_Central_HD,http://179.1.87.75:8098/play/a0ue/index.m3u8
DHE_HD,http://179.1.87.75:8098/play/a0tr/index.m3u8
De_Pelicula,http://179.1.87.75:8098/play/a0tc/index.m3u8
E_Entertainment,http://179.1.87.75:8098/play/a0eu/index.m3u8
El_Gourmet_HD,http://179.1.87.75:8098/play/a0uf/index.m3u8
Enlace,http://179.1.87.75:8098/play/a0e0/index.m3u8
Esne_TV,http://179.1.87.75:8098/play/a0hm/index.m3u8
FX,http://179.1.87.75:8098/play/a0hc/index.m3u8
HEI_HD,http://179.1.87.75:8098/play/a0uh/index.m3u8
Home_&_Health_HD,http://179.1.87.75:8098/play/a0t9/index.m3u8
HomeandHealth,http://179.1.87.75:8098/play/a0fp/index.m3u8
La_Red,http://179.1.87.75:8098/play/a0t1/index.m3u8
Las_Estrellas_HD,http://179.1.87.75:8098/play/a0tq/index.m3u8
Lifetime,http://179.1.87.75:8098/play/a0e3/index.m3u8
MEGA_HD,http://179.1.87.75:8098/play/a0tm/index.m3u8
MTV,http://179.1.87.75:8098/play/a0dq/index.m3u8
MTV_HD,http://179.1.87.75:8098/play/a0uu/index.m3u8
Mega,http://179.1.87.75:8098/play/a0tx/index.m3u8
POPU_TV,http://179.1.87.75:8098/play/a0ul/index.m3u8
Pasiones_HD,http://179.1.87.75:8098/play/a0th/index.m3u8
Playboy_HD,http://179.1.87.75:8098/play/a0tz/index.m3u8
RAI_Italia,http://179.1.87.75:8098/play/a0ua/index.m3u8
RCN_Novelas,http://179.1.87.75:8098/play/a0fj/index.m3u8
Senal_Colombia,http://179.1.87.75:8098/play/a0gb/index.m3u8
Sin_Limites,http://179.1.87.75:8098/play/a0fx/index.m3u8
Studio_Universal,http://179.1.87.75:8098/play/a0ek/index.m3u8
Sun_Channel_HD,http://179.1.87.75:8098/play/a0tv/index.m3u8
SyFy,http://179.1.87.75:8098/play/a0e4/index.m3u8
TBS,http://179.1.87.75:8098/play/a0fn/index.m3u8
TCM,http://179.1.87.75:8098/play/a0du/index.m3u8
TLC,http://179.1.87.75:8098/play/a0fd/index.m3u8
TRO,http://179.1.87.75:8098/play/a0gi/index.m3u8
TVE,http://179.1.87.75:8098/play/a0e1/index.m3u8
TVN,http://179.1.87.75:8098/play/a0t7/index.m3u8
TVN_HD,http://179.1.87.75:8098/play/a0tf/index.m3u8
Teleantioquia,http://179.1.87.75:8098/play/a0hd/index.m3u8
Telecafe,http://179.1.87.75:8098/play/a0hq/index.m3u8
Telecaribe,http://179.1.87.75:8098/play/a0ho/index.m3u8
Teleislas,http://179.1.87.75:8098/play/a0gj/index.m3u8
Telemundo,http://179.1.87.75:8098/play/a0fi/index.m3u8
Telepacifico,http://179.1.87.75:8098/play/a0hf/index.m3u8
Tlnovelas,http://179.1.87.75:8098/play/a0tb/index.m3u8
Trece,http://179.1.87.75:8098/play/a0hr/index.m3u8
UNIVERSAL_CHANNEL_HD,http://179.1.87.75:8098/play/a0ug/index.m3u8
USA_SD,http://179.1.87.75:8098/play/a0rk/index.m3u8
Universal,http://179.1.87.75:8098/play/a0do/index.m3u8
Universal_Cinema_SD,http://179.1.87.75:8098/play/a0en/index.m3u8
Universal_Comedy_SD,http://179.1.87.75:8098/play/a0eo/index.m3u8
Universal_Premiere_SD,http://179.1.87.75:8098/play/a0em/index.m3u8
Venus,http://179.1.87.75:8098/play/a0f2/index.m3u8
ViaX,http://179.1.87.75:8098/play/a0fe/index.m3u8
Win,http://179.1.87.75:8098/play/a0he/index.m3u8
Zona_Latina,http://179.1.87.75:8098/play/a0dr/index.m3u8
Zoom,http://179.1.87.75:8098/play/a0gh/index.m3u8

Cine & Series,#genre#
AMC_HD,http://179.1.87.75:8098/play/a0um/index.m3u8
AXN,http://179.1.87.75:8098/play/a0ha/index.m3u8
Cinecanal,http://179.1.87.75:8098/play/a0dn/index.m3u8
Cinemax,http://179.1.87.75:8098/play/a0h8/index.m3u8
HBO,http://179.1.87.75:8098/play/a0td/index.m3u8
HBO_2,http://179.1.87.75:8098/play/a0ee/index.m3u8
HBO_Family,http://179.1.87.75:8098/play/a0eh/index.m3u8
HBO_Family_HD,http://179.1.87.75:8098/play/a0tt/index.m3u8
HBO_HD,http://179.1.87.75:8098/play/a0uq/index.m3u8
HBO_POP_HD,http://179.1.87.75:8098/play/a0tk/index.m3u8
HBO_Plus,http://179.1.87.75:8098/play/a0ef/index.m3u8
HBO_XTREME_SD,http://179.1.87.75:8098/play/a0eg/index.m3u8
HBO_Xtreme_HD,http://179.1.87.75:8098/play/a0tu/index.m3u8
STAR_CHANNEL,http://179.1.87.75:8098/play/a0dt/index.m3u8
Sony,http://179.1.87.75:8098/play/a0h9/index.m3u8
Sony_Movies,http://179.1.87.75:8098/play/a0u9/index.m3u8
Space,http://179.1.87.75:8098/play/a0hb/index.m3u8
TNT,http://179.1.87.75:8098/play/a0dw/index.m3u8
TNT_Novelas_HD,http://179.1.87.75:8098/play/a0us/index.m3u8
TNT_SPORTS,http://179.1.87.75:8098/play/a0u6/index.m3u8
TNT_Series_HD,http://179.1.87.75:8098/play/a0un/index.m3u8
TNT_Sports_Premium_SD,http://179.1.87.75:8098/play/a0ta/index.m3u8
TNT_Sports_Premiun_HD,http://179.1.87.75:8098/play/a0ti/index.m3u8
Warner,http://179.1.87.75:8098/play/a0et/index.m3u8

Infantil,#genre#
BabyFirst,http://179.1.87.75:8098/play/a0e2/index.m3u8
Cartoon_Network,http://179.1.87.75:8098/play/a0dv/index.m3u8
Cartoon_Network_HD,http://179.1.87.75:8098/play/a0t8/index.m3u8
Disney_Channel,http://179.1.87.75:8098/play/a0eq/index.m3u8
Disney_Jr,http://179.1.87.75:8098/play/a0ei/index.m3u8
Nick_Jr,http://179.1.87.75:8098/play/a0hk/index.m3u8
Nickelodeon,http://179.1.87.75:8098/play/a0dk/index.m3u8
Nickelodeon_HD,http://179.1.87.75:8098/play/a0tl/index.m3u8

Cultura,#genre#
Discovery_ID,http://179.1.87.75:8098/play/a0hv/index.m3u8
Discovery_Kids,http://179.1.87.75:8098/play/a0e5/index.m3u8
Discovery_Kids_HD,http://179.1.87.75:8098/play/a0u8/index.m3u8
Discovery_Theater_HD,http://179.1.87.75:8098/play/a0te/index.m3u8
Discovery_Turbo,http://179.1.87.75:8098/play/a0hl/index.m3u8
Discovery_World_HD,http://179.1.87.75:8098/play/a0ur/index.m3u8

Deportes,#genre#
ESPN_2_HD,http://179.1.87.75:8098/play/a0tj/index.m3u8
ESPN_2_Latin,http://179.1.87.75:8098/play/a0ew/index.m3u8
ESPN_3,http://179.1.87.75:8098/play/a0hn/index.m3u8
ESPN_3_HD,http://179.1.87.75:8098/play/a0ut/index.m3u8
ESPN_4,http://179.1.87.75:8098/play/a0fu/index.m3u8
ESPN_5_HD,http://179.1.87.75:8098/play/a0uj/index.m3u8
ESPN_6,http://179.1.87.75:8098/play/a0up/index.m3u8
ESPN_6_HD,http://179.1.87.75:8098/play/a0uc/index.m3u8
ESPN_CO,http://179.1.87.75:8098/play/a0ge/index.m3u8
ESPN_HD,http://179.1.87.75:8098/play/a0tp/index.m3u8
ESPN_Premium_HD,http://179.1.87.75:8098/play/a0ts/index.m3u8
Espn_Premium,http://179.1.87.75:8098/play/a0ty/index.m3u8
Fox_Sports_2,http://179.1.87.75:8098/play/a0fg/index.m3u8
Fox_Sports_3,http://179.1.87.75:8098/play/a0fh/index.m3u8
L1_MAX,http://179.1.87.75:8098/play/a0t4/index.m3u8
TyC,http://179.1.87.75:8098/play/a0t3/index.m3u8
