LatAm Premium,#genre#
11_-_Repretel,http://200.125.170.122:8000/play/a03s/index.m3u8
13-Sinart,http://200.125.170.122:8000/play/a0e6/index.m3u8
42_-_Extra_TV_42,http://200.125.170.122:8000/play/a00q/index.m3u8
A&E_HD,http://200.125.170.122:8000/play/a02z/index.m3u8
AZ_click_HD,http://200.125.170.122:8000/play/a02q/index.m3u8
Adult_Swim,http://200.125.170.122:8000/play/a0ct/index.m3u8
Antena_3,http://200.125.170.122:8000/play/a005/index.m3u8
Atres_Series,http://200.125.170.122:8000/play/a00b/index.m3u8
Azcorazon,http://200.125.170.122:8000/play/a0cv/index.m3u8
Azmundo,http://200.125.170.122:8000/play/a09m/index.m3u8
Azteca_Deportes,http://200.125.170.122:8000/play/a0ek/index.m3u8
BBC_News,http://200.125.170.122:8000/play/a0d8/index.m3u8
CERTV,http://200.125.170.122:8000/play/a04t/index.m3u8
CNBC,http://200.125.170.122:8000/play/a05o/index.m3u8
CNN_Internacional,http://200.125.170.122:8000/play/a00d/index.m3u8
CNNE,http://200.125.170.122:8000/play/a0d7/index.m3u8
Canal_10_HD_-_ESA,http://200.125.170.122:8000/play/a0e3/index.m3u8
Canal_11_-_HON,http://200.125.170.122:8000/play/a0ec/index.m3u8
Canal_12_-_NI,http://200.125.170.122:8000/play/a0ed/index.m3u8
Canal_4_HD_ESA,http://200.125.170.122:8000/play/a0e4/index.m3u8
Canal_7_HD_CR,http://200.125.170.122:8000/play/a02d/index.m3u8
Canal_8_TNH_HN,http://200.125.170.122:8000/play/a0e1/index.m3u8
Canal_del_Congreso,http://200.125.170.122:8000/play/a04w/index.m3u8
Caracol,http://200.125.170.122:8000/play/a0er/index.m3u8
Cine_Latino,http://200.125.170.122:8000/play/a05k/index.m3u8
Claro_Sports_1_HD,http://200.125.170.122:8000/play/a0dk/index.m3u8
Concert_Channel,http://200.125.170.122:8000/play/a05g/index.m3u8
DHE_HD,http://200.125.170.122:8000/play/a035/index.m3u8
DISC_THEATHER_HD,http://200.125.170.122:8000/play/a04i/index.m3u8
Deportes_TVC_-_HON,http://200.125.170.122:8000/play/a097/index.m3u8
E!_Entertairment_HD,http://200.125.170.122:8000/play/a02x/index.m3u8
EURO_Channel,http://200.125.170.122:8000/play/a03y/index.m3u8
EWTN,http://200.125.170.122:8000/play/a0db/index.m3u8
El_Gourmet,http://200.125.170.122:8000/play/a040/index.m3u8
Estrella_TV,http://200.125.170.122:8000/play/a0eg/index.m3u8
Europa_HD,http://200.125.170.122:8000/play/a033/index.m3u8
FUTV_HD_CR,http://200.125.170.122:8000/play/a05u/index.m3u8
FX_HD,http://200.125.170.122:8000/play/a032/index.m3u8
Film_&_arts_HD,http://200.125.170.122:8000/play/a02y/index.m3u8
Food_Network,http://200.125.170.122:8000/play/a0et/index.m3u8
France24,http://200.125.170.122:8000/play/a0d9/index.m3u8
Guatevision_-_GUA,http://200.125.170.122:8000/play/a0eb/index.m3u8
HCH-_HON,http://200.125.170.122:8000/play/a0ee/index.m3u8
HOLA!_TV_HD,http://200.125.170.122:8000/play/a04k/index.m3u8
HTV,http://200.125.170.122:8000/play/a049/index.m3u8
Home_&_Health_HD,http://200.125.170.122:8000/play/a04j/index.m3u8
LIFE_TIME,http://200.125.170.122:8000/play/a0d0/index.m3u8
La_voz_de_Maria,http://200.125.170.122:8000/play/a05d/index.m3u8
Latin_America_Sport,http://200.125.170.122:8000/play/a046/index.m3u8
Mas_Chic,http://200.125.170.122:8000/play/a004/index.m3u8
Multicinema,http://200.125.170.122:8000/play/a04c/index.m3u8
Multimedios,http://200.125.170.122:8000/play/a00o/index.m3u8
Multipremier,http://200.125.170.122:8000/play/a05j/index.m3u8
Nicarao_TV,http://200.125.170.122:8000/play/a0cr/index.m3u8
PXTV,http://200.125.170.122:8000/play/a045/index.m3u8
Pasiones_HD,http://200.125.170.122:8000/play/a064/index.m3u8
Playboy,http://200.125.170.122:8000/play/a02c/index.m3u8
