Deportes,#genre#
Fox_Sports_3,http://179.1.87.75:8098/play/a0fh/index.m3u8
ESPN_4,http://179.1.87.75:8098/play/a0fu/index.m3u8
ESPN_3,http://179.1.87.75:8098/play/a0hn/index.m3u8
ESPN_2,http://179.1.87.75:8098/play/a0ew/index.m3u8
Fox_Sports_2,http://179.1.87.75:8098/play/a0fg/index.m3u8
LIGA_1_MAX_(Op_4),http://38.210.3.64:8090/play/a0nn/index.m3u8
LIGA_1_DECO,http://38.224.73.146:8000/play/a0vt/index.m3u8
L1_MAX_HD_(Op_1),http://38.224.73.146:8000/play/a0vx/index.m3u8
LIGA_1_MAX_DECO_(1080p),http://38.224.73.146:8000/play/a0vu/index.m3u8
Movistar_Deportes,http://38.224.73.146:8000/play/a1gl/index.m3u8
GOLPERU,http://38.224.73.146:8000/play/a1fs/index.m3u8
