Entretenimiento,#genre#
ATV_HD_WEB,http://38.224.73.146:8000/play/a1ft/index.m3u8
America_TV_HD,http://38.224.73.146:8000/play/a189/index.m3u8
CANAL_IPE_WEB,http://38.224.73.146:8000/play/a1fx/index.m3u8
GLOBAL_HD_DECO,http://38.224.73.146:8000/play/a1ev/index.m3u8
LA_TELE_HD_DECO,http://38.224.73.146:8000/play/a0vw/index.m3u8
Latina_HD,http://38.224.73.146:8000/play/a0y2/index.m3u8
NATIVA,http://38.224.73.146:8000/play/a0vj/index.m3u8
Panamericana,http://38.224.73.146:8000/play/a1fk/index.m3u8
TV_PERU_HD_WEB,http://38.224.73.146:8000/play/a1fs/index.m3u8
WILLAX_DECO,http://38.224.73.146:8000/play/a1dl/index.m3u8

Noticias,#genre#
EXITOSA,http://38.224.73.146:8000/play/a1fn/index.m3u8
RPP,http://38.224.73.146:8000/play/a1cs/index.m3u8
TV_PERU_NOTICIAS_WEB,http://38.224.73.146:8000/play/a1fr/index.m3u8

Deportes,#genre#
L1_MAX,http://38.224.73.146:8000/play/a1h7/index.m3u8
LIGA1_DECO,http://38.224.73.146:8000/play/a0vt/index.m3u8
