Undefined,#genre#
Exitosa,http://45.177.21.6:9000/play/a007
America_Television,http://45.177.21.6:9000/play/a003
Willax,http://45.177.21.6:9000/play/a02j
Canal_N,http://8.243.126.131:8000/play/a058/index.m3u8
ATV,http://179.63.6.12:9000/play/a02q
TV_Peru,http://179.63.6.12:9000/play/a05q
Panamericana,http://45.177.21.6:9000/play/a004
Movistar_Deportes,http://190.108.89.228:8000/play/a0cl/index.m3u8
ATV+,http://179.63.6.12:9000/play/a01j
Latina,http://179.63.6.12:9000/play/a00f
Global,http://45.177.21.6:9000/play/a009
Latina_Clasicos,http://201.230.101.89:12000/play/a07w/index.m3u8
PBO,http://191.97.61.32:8000/play/a04w/index.m3u8
La_Tele,http://190.119.112.28:8000/play/a07y/index.m3u8
L1_Max,http://186.148.196.82:8001/play/ligamax1
ATV_Sur,http://201.218.140.30:9000/play/a087
Justicia_TV,http://179.63.6.12:9000/play/a00v
Latina_Noticias_24/7,http://201.230.121.85:8000/play/LATINANOTI/index.m3u8
ESPN,http://45.177.21.6:9000/play/a015
ESPN_2,http://45.173.201.51:4000/play/a0pu/index.m3u8
ESPN_4,http://192.141.98.91:8000/play/a0ni/index.m3u8
ESPN_7,http://217.26.190.76:8888/play/a0g2/index.m3u8
ESPN_6,http://181.66.249.246:8000/play/a03x
Star_Channel,http://181.66.249.246:8000/play/a00n
ESPN_3,http://201.230.137.204:8000/play/a0g1/index.m3u8
TNT,http://45.177.21.6:9000/play/a01f
ESPN_5,http://190.119.112.30:8000/play/a024/index.m3u8
Warner_Channel,http://217.26.190.76:8888/play/a0e6/index.m3u8
Telenovelas,http://191.97.61.32:8000/play/a014/index.m3u8
Canal_de_Las_estrellas,http://186.148.196.67:8800/play/a022
MTV,http://186.148.196.67:8800/play/a00e
Univision,http://201.230.101.89:12000/play/a00q/index.m3u8
AXN,http://45.177.21.6:9000/play/a014
E!,http://8.243.126.131:8000/play/a0g7/index.m3u8
Discovery_Family,http://200.115.120.1:8000/play/ca053/index.m3u8
Cinecanal,http://181.66.249.246:8000/play/a00h
AMC,http://45.177.21.6:9000/play/a00k
Sony_Channel,http://190.102.139.189:8000/play/a00x/index.m3u8
A&E,http://45.177.21.6:9000/play/a013
Discovery_Channel,http://217.26.190.76:8888/play/a0ef/index.m3u8
Discovery_Turbo,http://181.66.249.246:8000/play/a01q
Discovery_H&H,http://38.7.101.90:8000/play/a1jo/index.m3u8
Investigation_Discovery,http://190.117.20.39:8000/play/a05b/index.m3u8
Cartoon_Network,http://181.66.249.246:8000/play/a00p
Discovery_Kids,http://45.177.21.6:9000/play/a01m
Nick_Jr.,http://45.177.21.6:9000/play/a01u
Cartoonito,http://45.177.21.6:9000/play/a00p
Nickelodeon,http://186.148.196.67:8800/play/a03v
Tooncast,http://45.177.21.6:9000/play/a01l
Disney_Jr.,http://186.148.196.67:8800/play/a019
Disney_Channel,http://190.117.20.39:8000/play/a05o/index.m3u8
Dreamworks_Channel,http://190.102.139.189:8000/play/a00h/index.m3u8
Clan,http://45.177.21.6:9000/play/a01b
ZooMoo,http://8.243.126.131:8000/play/a0li/index.m3u8
TV_Peru_7.3,https://cdnhd.iblups.com/hls/902c1a0395264f269f1160efa00660e47.m3u8
