Peru Premium,#genre#
13_C,http://38.224.73.146:8000/play/a1cg/index.m3u8
A&E_HD,http://38.224.73.146:8000/play/a12w/index.m3u8
ABE_Educativo,http://38.224.73.146:8000/play/a1ep/index.m3u8
ABE_Tv,http://38.224.73.146:8000/play/a1dw/index.m3u8
AMC_HD,http://38.224.73.146:8000/play/a138/index.m3u8
AMC_Series,http://38.224.73.146:8000/play/a1gk/index.m3u8
AMERICA_DECO,http://38.224.73.146:8000/play/a0vy/index.m3u8
ATB_HD,http://38.224.73.146:8000/play/a1dq/index.m3u8
ATV,http://38.224.73.146:8000/play/a162/index.m3u8
ATV_HD_DECO,http://38.224.73.146:8000/play/a1et/index.m3u8
ATV_HD_WEB,http://38.224.73.146:8000/play/a1ft/index.m3u8
ATV_SUR_WEB,http://38.224.73.146:8000/play/a1fp/index.m3u8
ATV+_HD_DECO,http://38.224.73.146:8000/play/a1eu/index.m3u8
ATV+_WEB,http://38.224.73.146:8000/play/a1fq/index.m3u8
AXN_HD,http://38.224.73.146:8000/play/a193/index.m3u8
Abya_Yala_Tv,http://38.224.73.146:8000/play/a1el/index.m3u8
Adult_Swim,http://38.224.73.146:8000/play/a1cc/index.m3u8
America_TV_HD,http://38.224.73.146:8000/play/a0y1/index.m3u8
Animal_Planet_HD,http://38.224.73.146:8000/play/a18y/index.m3u8
Antena_3,http://38.224.73.146:8000/play/a167/index.m3u8
Atres_Series,http://38.224.73.146:8000/play/a1fb/index.m3u8
Ayni_TV,http://38.224.73.146:8000/play/a1en/index.m3u8
BBC_News,http://38.224.73.146:8000/play/a1f9/index.m3u8
BBC_World,http://38.224.73.146:8000/play/a165/index.m3u8
BETHEL_AREQUIPA_DECO,http://38.224.73.146:8000/play/a1dm/index.m3u8
BETHEL_TV,http://38.224.73.146:8000/play/a13v/index.m3u8
Baby_TV,http://38.224.73.146:8000/play/a11y/index.m3u8
Bolivia_Tv_HD,http://38.224.73.146:8000/play/a1dy/index.m3u8
Bolivision_HD,http://38.224.73.146:8000/play/a1eh/index.m3u8
CANAL_IPE_WEB,http://38.224.73.146:8000/play/a1fx/index.m3u8
CCTV-CGTN,http://38.224.73.146:8000/play/a1gj/index.m3u8
CHV_HD,http://38.224.73.146:8000/play/a1bf/index.m3u8
CNN_Chile,http://38.224.73.146:8000/play/a1an/index.m3u8
CNN_Espaæol,http://38.224.73.146:8000/play/a125/index.m3u8
CNN_International,http://38.224.73.146:8000/play/a18f/index.m3u8
CTV,http://38.224.73.146:8000/play/a1e4/index.m3u8
CVC_HD,http://38.224.73.146:8000/play/a1eo/index.m3u8
Cadena_A_HD,http://38.224.73.146:8000/play/a1ej/index.m3u8
Canal_13_HD,http://38.224.73.146:8000/play/a1bn/index.m3u8
Canal_24_Horas_HD,http://38.224.73.146:8000/play/a1av/index.m3u8
Canal_Institucional,http://38.224.73.146:8000/play/a10z/index.m3u8
Caracol_HD,http://38.224.73.146:8000/play/a0zq/index.m3u8
Cartoon_Network,http://38.224.73.146:8000/play/a1c0/index.m3u8
Cartoonito,http://38.224.73.146:8000/play/a1gh/index.m3u8
Cinecanal_HD,http://38.224.73.146:8000/play/a1b3/index.m3u8
Cinemax,http://38.224.73.146:8000/play/a1fl/index.m3u8
Clover,http://38.224.73.146:8000/play/a15c/index.m3u8
Comedy_Central_HD,http://38.224.73.146:8000/play/a12x/index.m3u8
D_SPORT_2_DECO,http://38.224.73.146:8000/play/a0vr/index.m3u8
D_SPORT_DECO,http://38.224.73.146:8000/play/a0vs/index.m3u8
