Música,#genre#
Radio_Programas_del_Perú,https://us-b4-p-e-zs14-audio.cdn.mdstrm.com/live-audio-aw/5fab3416b5f9ef165cfab6e9/playlist.m3u8?aid=5faaeb72f92d7b07dfe10181&pid=hROeHxQ8Pde2ZJJXk9nyLIDuP3rwAhkf&sid=iDAy1WMsntiTrphZze6h1ftvL059u7vQ&uid=UAe77g1WTHWzTQ5nMgFnwSVXmUKVkcRd&es=us-b4-p-e-zs14-audio.cdn.mdstrm.com&ote=1787995822534&ot=0DAYGsT5t8Gs-3q-XPzUvw&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fab3416b5f9ef165cfab6e9&listenerId=UAe77g1WTHWzTQ5nMgFnwSVXmUKVkcRd
Bossa_Nova_Perú_Radio,https://conectperu.com/8158/stream
Jazzcontempo,http://conectperu.com:8048/stream.mp3
Chalaca,https://conectperu.com:7041/stream?icy=http
Fama_Sur_(Tarata),https://sp.oyotunstream.com/9326/stream
Latidos_94.7_FM,http://ip.peruhits.com:9944/stream.mp3
Laser_100.7_FM,https://conectperu.com/8078/stream
Fidelisima,https://st3.inkaniserver.net:8008/stream
Kpopway_Radio,https://streamer.radio.co/s06b196587/listen.m3u
Radio_-_Congreso_del_Perú,https://vivo.miradio.in/8048/stream
Mambo_INN_Radio,https://radio.perustream.com:7000/stream
Onda_Digital_Radio,https://conectperu.com/8354/stream
Onda_Popular,https://dattavolt.com/8278/stream?1634322652441
La_voz_de_Oyotún,https://sp.oyotunstream.com:10966/
Radio_Agricultura_(Cajamarca),https://envivo.top:8443/agricultura
Radio_Azul,https://dattavolt.com/8212/stream
Radio_Bambamarca_"Frecuencia_Líder"_(1020_AM),https://envivo.top:8443/lider
Pachamama,https://servidor14-2.brlogic.com:8744/live
RADIO_ESTACION_90_(PERU),https://radio.livestreamingmundial.com:7004/stream/1/
Radio_Coremarca,https://sonicpanel.streaming10.net/7044/stream
Radio_Fantasía_Iquitos_88.3,https://sp.oyotunstream.com:10943/stream?icy=http
Radio_Corazón_(94.3_FM_Lima),https://us-b4-p-e-pb13-audio.cdn.mdstrm.com/live-audio-aw/5fada514fc16c006bd63370f?aid=5faaeb72f92d7b07dfe10181&pid=xscW2HKguqzyafSDUzOOeADKg7h6OWRE&sid=FG18yqaoVPFPEpJ7FoJTXepbJg6vfCQ4&uid=8wkZLHRTF22RHLZOe0RLefLjXhUUKBuy&es=us-b4-p-e-pb13-audio.cdn.mdstrm.com&ote=1787995833886&ot=uZ5nclCyrhkgLljSRrjPww&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada514fc16c006bd63370f&listenerId=8wkZLHRTF22RHLZOe0RLefLjXhUUKBuy
Radio_Estrella_Trujillo_(102.7_Trujillo),https://radio.datahost.pe/9660/stream
Radio_Galáctica,https://sonic.dattassd.com:10949/stream?icy=http
Radio_Frecuencia_Popular_(Chala),https://radio.sistemasandinos.org/7412/stream
Radio_Armonía,https://radio.sistemasandinos.org:10978/
Radio_Buenaza_102.9_FM,https://sp.dattavolt.com:7033/
Radio_frecuencia_100_-_Trujillo,http://oyotunstream.com:7066/
Radio_Girasol,https://miradioperu.com/8008/stream
Radio_JR_(88.7,_Arequipa),https://tupanel.info:2000/stream/radiojr/stream
Radio_La_Inolvidable_(OBT-4C,_93.7_MHz_FM,_Lima),https://provisioning.streamtheworld.com/pls/CRP_LI.pls
Radio_La_Zona_(90.5_FM,_Lima),https://us-b4-p-e-jn18-audio.cdn.mdstrm.com/live-audio-aw/5fada54116646e098d97e6a5?aid=5faaeb72f92d7b07dfe10181&pid=uu2tY05XobNXhUN4OmSbn3v2vvvZ0jBA&sid=Py6dm8gYdbKFFn6sfbVdtlybRqsNbUaL&uid=r0RVq81NVPIxJ7pviPBKaeQ8p52mBCph&es=us-b4-p-e-jn18-audio.cdn.mdstrm.com&ote=1787995840826&ot=emGfTC640L07h_CEKPR--g&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada54116646e098d97e6a5&listenerId=r0RVq81NVPIxJ7pviPBKaeQ8p52mBCph
Radio_JHC_107.7_FM,https://sp.oyotunstream.com:10979/
Radio_Latidos_94.7_FM_(Huaral),https://radio.pjcks.com/9944/stream
Radio_Mágica_88.3_FM_(OCX-4G,_Lima,_Perú),http://playerservices.streamtheworld.com/pls/MAG_AAC.pls
Radio_Loreto,https://sp.oyotunstream.com/8006/stream
Radio_Level_Hits,http://ip.peruhits.com:7234/
Radio_Huancayo,https://cloud9.ldwebstudios.net:7000/
Radio_Los_Angeles_-_Chepen,http://94.23.159.187:9950/
Radio_Nueva_Q_(OCZ-4P,_107.1_MHz,_Lima),http://playerservices.streamtheworld.com/pls/CRP_NQ.pls
Radio_Latina_(Huancavelica),http://corporacionlatina.com:7004/
Radio_OK_Lambayeque,https://dattavolt.com/8090/
Radio_Manantial_de_Vida,https://server.streamingradios.net/8036/stream
Radio_Milenia_(1530_AM_Lima),https://radio.pjcks.com/8020/stream
Radio_La_Mega,https://us-b4-p-e-pb13-audio.cdn.mdstrm.com/live-audio-aw/5fada56fe4e09508207a7951?aid=5faaeb72f92d7b07dfe10181&pid=HJ6rM8CiO4mnMY0TpWVvrqAdfhQt1wte&sid=ENxZzBnea5FEv94XGTM6cOI496bHn6eJ&uid=5PwR7gDvGkwkrJelW2toyzN3RqnjOx31&es=us-b4-p-e-pb13-audio.cdn.mdstrm.com&ote=1787995840180&ot=k4etZd1FIu8syFZC1g2e3w&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada56fe4e09508207a7951&listenerId=5PwR7gDvGkwkrJelW2toyzN3RqnjOx31
Radio_Oasis_(OCX-4U,_100.1_MHz,_Lima),http://playerservices.streamtheworld.com/pls/CRP_OAS.pls
Radio_Paraíso,https://radio.sistemasandinos.org/7150/stream
Radio_Planeta_(OCZ-4L,_107.7_MHz_FM,_Lima),http://playerservices.streamtheworld.com/pls/CRP_PLA.pls
Radio_La_Unika,https://cloud9.ldwebstudios.net:7011/
RADIO_LA_MEGA_96.7_FM_(PERU),https://us-b4-p-e-pb13-audio.cdn.mdstrm.com/live-audio-aw/5fada56fe4e09508207a7951?
Radio_Oriente,https://sonic.dattassd.com/9312/stream
Radio_Ritmo_Romántica,http://playerservices.streamtheworld.com/pls/CRP_RIT.pls
Radio_Maria_Peru_(OAX-4M,_580_kHz_AM_/_OBT-4Z_97.7_MHz_FM,_Lima),http://dreamsiteradiocp4.com:8020/
Radio_Positiva_Tacna,http://sp.oyotunstream.com:8034/
