Música,#genre#
Radio_Master_(720p),https://videoserver.tmcreativos.com:19360/radiomaster/radiomaster.m3u8
Radio_Tropical_Tarapoto_(480p)_[Not_24/7],https://videoserver.tmcreativos.com:19360/raditropical/raditropical.m3u8
La_Fabulosa_Radio_y_TV_(720p),https://eu1.servers10.com:8081/8004/index.m3u8
Turbo_Mix_Radio_TV_(360p)_[Not_24/7],https://7.innovatestream.pe:19360/turbomixoficial/turbomixoficial.m3u8
Atlantis_Radio_TV_(720p),https://live-evg8.tv360.bitel.com.pe/bitel/atlantisSRT/playlist.m3u8
Radio_Chalaca,https://servilive.com:3414/hybrid/play.m3u8
Radio_Uno_Tacna_(720p),https://live-evg7.tv360.bitel.com.pe/bitel/radiounotv/playlist.m3u8
Radio_Rumba_TV_(720p),https://live-evg7.tv360.bitel.com.pe/bitel/rumba/playlist.m3u8
Radio_Onda_Digital_(1080p),https://live.ondadigitaltv.com/RADIOODTV/index.m3u8
Radio_San_Borja_TV,https://stream.mediacorp.pe/srt/3/playlist.m3u8
